run_id,run_date,project_id,data_scientist_id,mlr_dataset,feature_set,split,tuned,setup,best,holdout_acc,metrics_dict,accuracy,roc_auc,recall,precision,f1,kappa,mcc
ea1648b0-47cd-4c6e-93fb-4f76a0c70bcf,10/01/2023 05:18,1,1,./datasets/mlr.csv,ALL,0.92,TRUE,ea1648b0-47cd-4c6e-93fb-4f76a0c70bcf: ./datasets/mlr.csv - ALL - 0.92 - TUNED=True,"XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
              colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=0, gpu_id=-1,
              grow_policy='depthwise', importance_type=None,
              interaction_constraints='', learning_rate=0.300000012,
              max_bin=256, max_cat_threshold=64, max_cat_to_onehot=4,
              max_delta_step=0, max_depth=6, max_leaves=0, min_child_weight=1,
              missing=nan, monotone_constraints='()', n_estimators=100,
              n_jobs=-1, num_parallel_tree=1, objective='binary:logistic',
              predictor='auto', ...)",0.54,"{'accuracy': 0.6518, 'roc_auc': 0.6492, 'recall': 0.7786, 'precision': 0.7046, 'f1': 0.7309, 'kappa': 0.2427, 'mcc': 0.2436}",0.65,0.65,0.78,0.7,0.73,0.24,0.24
49383b65-01b9-4094-a0da-4c28a6e857a1,02/02/2023 06:34,1,1,./datasets/RED_RAN_RANKED_101.csv,ALL,0.91,TRUE,49383b65-01b9-4094-a0da-4c28a6e857a1 101 - use train_size=0.9 for train/validate,"XGBClassifier(base_score=None, booster='gbtree', callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=-1, num_parallel_tree=None,
              objective='binary:logistic', predictor=None, ...)",0.53,"{'accuracy': 0.7863, 'roc_auc': 0.7704, 'recall': 0.8625, 'precision': 0.7982, 'f1': 0.8243, 'kappa': 0.5492, 'mcc': 0.5631}",0.7863,0.7704,0.8625,0.7982,0.8243,0.5492,0.5631
cdff1607-b5be-44d4-b98c-2a435fef56c9,02/02/2023 06:47,1,1,./datasets/mlr.csv,ALL,0.9,TRUE,cdff1607-b5be-44d4-b98c-2a435fef56c9 101 - use train_size=0.9 for train/validate,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None, learning_rate=1.0,
                   n_estimators=50, random_state=6076)",0.75,"{'accuracy': 0.694, 'roc_auc': 0.7524, 'recall': 0.775, 'precision': 0.7353, 'f1': 0.7446, 'kappa': 0.3656, 'mcc': 0.3822}",0.694,0.7524,0.775,0.7353,0.7446,0.3656,0.3822
919ff740-e32b-4cea-b17d-450e051e4713,02/02/2023 06:47,1,1,./datasets/RED_ADA_RANKED_101.csv,ALL,0.85,TRUE,919ff740-e32b-4cea-b17d-450e051e4713 101 - use train_size=0.9 for train/validate,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=1000,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=4036, solver='lbfgs', tol=0.0001, verbose=0,
                   warm_start=False)",0.8,"{'accuracy': 0.8, 'roc_auc': 0.8693, 'recall': 0.85, 'precision': 0.8383, 'f1': 0.8369, 'kappa': 0.5739, 'mcc': 0.592}",0.8,0.8693,0.85,0.8383,0.8369,0.5739,0.592
dd054368-7386-409d-8f18-ae772f8475dc,02/02/2023 06:48,1,1,./datasets/RED_RAN_RANKED_101.csv,ALL,0.95,TRUE,dd054368-7386-409d-8f18-ae772f8475dc 101 - use train_size=0.9 for train/validate,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=1000,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=5542, solver='lbfgs', tol=0.0001, verbose=0,
                   warm_start=False)",0.5,"{'accuracy': 0.7857, 'roc_auc': 0.8561, 'recall': 0.8181, 'precision': 0.8445, 'f1': 0.8174, 'kappa': 0.5548, 'mcc': 0.5831}",0.7857,0.8561,0.8181,0.8445,0.8174,0.5548,0.5831
628f97f3-c40e-4d37-9770-8a324f1ae7a6,02/02/2023 06:48,1,1,./datasets/RED_ADA_RANKED_101.csv,ALL,0.94,FALSE,628f97f3-c40e-4d37-9770-8a324f1ae7a6 101 - use train_size=0.9 for train/validate,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None, learning_rate=1.0,
                   n_estimators=50, random_state=1430)",0.9,"{'accuracy': 0.8918, 'roc_auc': 0.9374, 'recall': 0.9125, 'precision': 0.9112, 'f1': 0.9057, 'kappa': 0.7773, 'mcc': 0.7929}",0.8918,0.9374,0.9125,0.9112,0.9057,0.7773,0.7929
96248dae-da06-4924-9ea1-a4004ac5a51a,02/02/2023 06:49,1,1,./datasets/RED_RAN_RANKED_101.csv,ALL,0.95,TRUE,96248dae-da06-4924-9ea1-a4004ac5a51a 101 - use train_size=0.9 for train/validate,"ExtraTreesClassifier(bootstrap=False, ccp_alpha=0.0, class_weight=None,
                     criterion='gini', max_depth=None, max_features='sqrt',
                     max_leaf_nodes=None, max_samples=None,
                     min_impurity_decrease=0.0, min_samples_leaf=1,
                     min_samples_split=2, min_weight_fraction_leaf=0.0,
                     n_estimators=100, n_jobs=-1, oob_score=False,
                     random_state=1566, verbose=0, warm_start=False)",0.75,"{'accuracy': 0.7286, 'roc_auc': 0.7658, 'recall': 0.8556, 'precision': 0.7422, 'f1': 0.786, 'kappa': 0.4138, 'mcc': 0.4486}",0.7286,0.7658,0.8556,0.7422,0.786,0.4138,0.4486
4c33f5e9-24c8-4be8-9a8b-f48d0976a3ba,02/02/2023 06:49,1,1,./datasets/RED_ADA_RANKED_101.csv,ALL,0.94,TRUE,4c33f5e9-24c8-4be8-9a8b-f48d0976a3ba 101 - use train_size=0.9 for train/validate,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None, learning_rate=1.0,
                   n_estimators=50, random_state=5938)",0.9,"{'accuracy': 0.8918, 'roc_auc': 0.9476, 'recall': 0.9028, 'precision': 0.9253, 'f1': 0.9054, 'kappa': 0.7765, 'mcc': 0.7948}",0.8918,0.9476,0.9028,0.9253,0.9054,0.7765,0.7948
c494c0c7-6192-466c-ae7e-d5b3f7b27400,02/02/2023 06:49,1,1,./datasets/RED_RAN_RANKED_101.csv,ALL,0.93,TRUE,c494c0c7-6192-466c-ae7e-d5b3f7b27400 101 - use train_size=0.9 for train/validate,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='sqrt',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_samples_leaf=1,
                       min_samples_split=2, min_weight_fraction_leaf=0.0,
                       n_estimators=100, n_jobs=-1, oob_score=False,
                       random_state=7198, verbose=0, warm_start=False)",0.82,"{'accuracy': 0.7, 'roc_auc': 0.7331, 'recall': 0.8417, 'precision': 0.7207, 'f1': 0.7693, 'kappa': 0.3455, 'mcc': 0.3635}",0.7,0.7331,0.8417,0.7207,0.7693,0.3455,0.3635
32def90b-c02a-4be0-bc73-c3375408f293,02/02/2023 06:57,1,1,./datasets/mlr.csv,ALL,0.87,TRUE,32def90b-c02a-4be0-bc73-c3375408f293 101 - use train_size=0.9 for train/validate,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=1000,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=5730, solver='lbfgs', tol=0.0001, verbose=0,
                   warm_start=False)",0.57,"{'accuracy': 0.6622, 'roc_auc': 0.6761, 'recall': 0.7232, 'precision': 0.7338, 'f1': 0.7119, 'kappa': 0.2987, 'mcc': 0.3279}",0.6622,0.6761,0.7232,0.7338,0.7119,0.2987,0.3279
